"SKU","Title","Price","Status","Type","Color","Mobile Support","Design Framework","Featured Image","Featured Image Magnified","Other Images","Is Featured Design","Category","Description","Is On Sale","Is New Product","Demo Url","Hide Demo Header","Design Owner","Design Price"
"builder_lime_basic","Drupal Business Theme - Builder","$80.00","Yes","Basic","green","Responsive","Twitter Bootstrap","","","","True","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_lime_plus","Builder Green Plus","$150.00","Yes","Plus","green","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_lime_unlimited","Builder Green Unlimited","$300.00","Yes","Ultimate","green","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_basic","Builder Red Basic","$80.00","Yes","Basic","red","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_plus","Builder Red Plus","$150.00","Yes","Plus","red","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"builder_red_unlimited","Builder Red Unlimited","$300.00","Yes","Ultimate","red","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","http://html.orange-idea.com/builder-html/","yes","","$0.00"
"cascade_basic","Drupal Admin Theme - Cascade","$80.00","Yes","Basic","color fits all","Responsive","Twitter Bootstrap","","","","True","Admin - Hosting","Please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","yes","","$0.00"
"cascade_plus","Cascade Plus","$150.00","Yes","Plus","color fits all","Responsive","Twitter Bootstrap","","","","False","Admin - Hosting","Please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","no","","$0.00"
"cascade_ultimate","Cascade Ultimate","$300.00","Yes","Ultimate","color fits all","Responsive","Twitter Bootstrap","","","","False","Admin - Hosting","please, contact us for complete description","False","False","http://bootstrapguru.com/preview/cascade/index.php","yes","","$0.00"
"calypso_red_basic","Drupal Company Theme - Calypso","$80.00","Yes","Basic","red","Responsive","Twitter Bootstrap","","","","True","Business - Corporate","","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_red_plus","Calypso Red Plus","$150.00","Yes","Plus","red","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_red_ultimate","Calypso Red Ultimate","$300.00","Yes","Ultimate","red","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_yellow_ultimate","Calypso Yellow Ultimate","$300.00","Yes","Ultimate","yellow","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","https://wrapbootstrap.com/theme/calypso-multipurpose-theme-WB03N9066","no","","$0.00"
"calypso_yellow_plus","Calypso Yellow Plus","$150.00","Yes","Plus","yellow","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","Please, contact us for complete description","False","False","http://www.wowthemes.net/demo/calypso/index.html","no","","$0.00"
"calypso_yellow_basic","Calypso Yellow Basic","$80.00","Yes","Basic","yellow","Responsive","Twitter Bootstrap","","","","False","Business - Corporate","please, contact us for complete description","False","False","http://www.wowthemes.net/demo/calypso/index.html","no","","$0.00"
"ace_admin_basic","Drupal Admin Theme - Ace","$80.00","Yes","Basic","color fits all","Responsive","Twitter Bootstrap","","","","True","Admin - Hosting","please, contact us for complete description","False","False","http://192.69.216.111/themes/preview/ace/index.html","no","","$0.00"
"ace_admin_plus","Ace Admin Plus","$150.00","Yes","Plus","color fits all","Responsive","Twitter Bootstrap","","","","False","Admin - Hosting","please, contact us for complete description","False","False","http://192.69.216.111/themes/preview/ace/index.html","no","","$0.00"
"ace_admin_ultimate","Ace Admin Ultimate","$300.00","Yes","Ultimate","color fits all","Responsive","Twitter Bootstrap","","","","False","Admin - Hosting","please, contact us for complete description","False","False","http://192.69.216.111/themes/preview/ace/index.html","no","","$0.00"
